"Trial","T2U"
"0","39.08804988861084"
"1","43.549447774887085"
"2","31.399405002593994"
"3","41.929020404815674"
"4","27.69329023361206"
"5","37.658008337020874"
"6","25.046480178833008"
"7","50.993515491485596"
"8","51.94056963920593"
"9","31.937565803527832"
"10","34.22957372665405"
"11","37.89335107803345"
"12","23.993281602859497"
"13","34.3653519153595"
"14","33.37954235076904"
"15","34.87700366973877"
"16","34.07625389099121"
"17","24.117462396621704"
"18","46.20219945907593"
"19","22.760026454925537"
"20","26.692603826522827"
"21","23.338884353637695"
"22","21.363991498947144"
"23","19.01210927963257"
"24","35.10725402832031"
"25","28.92598295211792"
"26","30.60964798927307"
"27","35.06481409072876"
"28","4009.349917650223"
"29","52.117067098617554"
"30","47.591132402420044"
"31","42.66985774040222"
"32","36.50173258781433"
"33","40.191150426864624"
"34","40.92248320579529"
"35","23.67647409439087"
"36","26.39865779876709"
"37","44.95234179496765"
"38","40.27332949638367"
"39","23.502355575561523"
"40","36.97919988632202"
"41","32.209901571273804"
"42","55.077786445617676"
"43","17.433600425720215"
"44","35.742701053619385"
"45","28.70277976989746"
"46","35.57891035079956"
"47","35.69624638557434"
"48","46.14039134979248"
"49","29.01092529296875"
"50","30.133241415023804"
"51","33.84834957122803"
"52","71.47513127326965"
"53","31.013795137405396"
"54","46.69974327087402"
"55","34.477439165115356"
"56","27.897343635559082"
"57","41.34545111656189"
"58","52.298907995224"
"59","37.625144243240356"
"60","26.88799524307251"
"61","45.75691223144531"
"62","35.88343143463135"
"63","47.64586281776428"
"64","52.918882846832275"
"65","44.85689377784729"
"66","37.61584711074829"
"67","32.492387533187866"
"68","32.73269605636597"
"69","40.99136924743652"
"70","38.109302282333374"
"71","42.03364968299866"
"72","43.04522514343262"
"73","50.72856688499451"
"74","45.83376216888428"
"75","30.96923017501831"
"76","27.035666704177856"
"77","55.08625364303589"
"78","56.88342094421387"
"79","31.20715022087097"
"80","41.99543285369873"
"81","30.738030672073364"
"82","20.575268983840942"
"83","46.22505259513855"
"84","63.722036838531494"
"85","34.80495572090149"
"86","37.460147857666016"
"87","29.879964590072632"
"88","72.81327843666077"
"89","15.71989107131958"
"90","44.007296562194824"
"91","59.94314002990723"
"92","45.819628953933716"
"93","31.294962406158447"
"94","67.11144590377808"
"95","52.64079737663269"
"96","37.65429091453552"
"97","33.999452352523804"
"98","59.7981173992157"
"99","32.83792424201965"
"100","54.08824396133423"
"101","57.425135135650635"
"102","27.98182201385498"
"103","40.049941301345825"
"104","43.346210956573486"
"105","33.5244038105011"
"106","48.927183866500854"
"107","103.08782935142517"
"108","93.25966310501099"
"109","44.71743035316467"
"110","95.31387305259705"
"111","120.797358751297"
"112","36.26478934288025"
"113","36.636991024017334"
"114","90.51048064231873"
"115","75.76405167579651"
